"orgpermid","cusip","isin","ticker","siccode"
4295899211,"68555P100","US68555P1003","ORBC",4899
4295899217,"641119102","US6411191025","TAGP",NA
4295899219,"65336K103","US65336K1034","NXST",4833
4295899223,"584766208","US5847662088","MIHI",3730
4295899224,"491292108","US4912921081","KFFB",6035
4295899228,"00685T108","US00685T1088","SYN",2834
4295899229,"892000100","US8920001000","TWER",4899
4295899232,"149049504","US1490495041","OTRK",8090
4295899235,"83171G103","US83171G1031","SPRO",82
4295899237,"","","CTRN",56
4295899238,"29358P101","US29358P1012","ENSG",8051
4295899239,"252784301","US2527843013","DRH",6798
4295899241,"015384100","US0153841004","ALXA",2834
4295899243,"031001100","US0310011004","ATLO",6021
4295899244,"67575P108","US67575P1084","SNOA",3841
4295899246,"752185108","US7521851086","RAND",NA
4295899247,"92828A104","US92828A1043","VHGI",7373
4295899249,"283702108","US2837021086","EPB",NA
4295899258,"05477A100","US05477A1007","ENCC",NA
4295899262,"89147W106","US89147W1062","JTBK",7370
4295899264,"584070106","US5840701065","CGLO",7372
4295899267,"393222104","US3932221043","GPRE",2860
4295899276,"97652A203","US97652A2033","CREX",7373
4295899279,"91388Q202","US91388Q2021","UTRA",NA
4295899286,"57061T102","US57061T1025","MWWC",5013
4295899290,"343412102","US3434121022","FLR",16
4295899293,"376546107","US3765461070","GAIN",NA
4295899296,"736233206","US7362332063","LMST",6021
4295899301,"75952B105","US75952B1052","GEN",4911
4295899302,"682203104","US6822031042","ONCI",7372
4295899306,"37942D203","US37942D2036","GDIV",NA
4295899310,"533535100","US5335351004","LINC",82
4295899311,"723443107","US7234431077","PNCLQ",NA
4295899312,"749114104","US7491141047","QMCI",7389
4295899314,"54619P104","US54619P1049","LABC",NA
4295899315,"928645100","US9286451003","VOLC",3845
4295899316,"69373H106","US69373H1068","PACR",4731
4295899318,"684010101","US6840101017","OXPS",NA
4295899323,"12497T101","US12497T1016","CBRE",65
4295899327,"92554W106","US92554W1062","VSPC",7330
4295899328,"708062104","US7080621045","PNNT",NA
4295899331,"700885106","US7008851062","PKBK",6022
4295899333,"89421Q205","US89421Q2057","TZOO",7310
4295899335,"43737T106","US43737T1060","HSYT",NA
4295899337,"36866T103","US36866T1034","GPRO",3841
4295899338,"04543P100","US04543P1003","AACC",NA
4295899343,"75606W109","US75606W1099","BUUZ",6798
4295899345,"432748101","US4327481010","HTH",6022
4295899347,"16937H106","US16937H1068","AOXG",2834
4295899348,"05366Y201","US05366Y2019","AVNW",3663
4295899350,"29977A105","US29977A1051","EVR",6282
4295899355,"92643X305","US92643X3052","VYEY",1311
4295899356,"98400M101","US98400M1018","XELB",6794
4295899357,"23247M205","US23247M2052","CYBL",NA
4295899358,"229663109","US2296631094","CUBE",6798
4295899360,"777779307","US7777793073","ROSE",1311
4295899365,"92205L202","US92205L2025","ZDPY",6512
4295899378,"629422106","US6294221063","NLP",6798
4295899386,"85228F202","US85228F2020","EWVE",NA
4295899394,"92705T101","US92705T1016","VBFC",6022
4295899404,"865378103","US8653781034","SLPHQ",1389
4295899406,"76129W105","US76129W1053","RVP",3841
4295899416,"51807L101","US51807L1017","VRME",7373
4295899418,"984189100","US9841891008","XPWR",3510
4295899422,"47737R101","US47737R1014","JGBO",NA
4295899424,"08915P101","US08915P1012","BGFV",5940
4295899425,"929741106","US9297411061","WBNK",6022
4295899428,"156732307","US1567323076","CERPQ",2821
4295899430,"12738T100","US12738T1007","CADX",NA
4295899435,"488879107","US4888791070","KNXA",NA
4295899437,"","","BATL",1311
4295899439,"10501E201","US10501E2019","BCLI",2836
4295899444,"694347105","US6943471051","PGTK",4955
4295899446,"78648T100","US78648T1007","SAFT",6331
4295899447,"17316V104","US17316V1044","CZBT",NA
4295899449,"87336P106","US87336P1066","TBTC",7990
4295899452,"87162W100","US87162W1009","SNX",5045
4295899455,"25400D104","US25400D1046","DGLPQ",NA
4295899459,"427825500","US4278255009","HT",6798
4295899460,"044103109","US0441031095","AHT",6798
4295899461,"55003T107","US55003T1079","LL",5211
4295899462,"043635101","US0436351011","ASTI",3674
4295899467,"252726203","US2527262032","PLPL",2834
4295899468,"04964C208","US04964C2089","PTIX",2834
4295899478,"04621X108","US04621X1081","AIZ",6399
4295899482,"83171V100","US83171V1008","MOST",7372
4295899490,"16943E105","US16943E1055","CSOL",3433
4295899501,"032797300","US0327973006","AVXL",2836
4295899503,"26985R104","US26985R1041","EROC",NA
4295899505,"881718308","US8817183085","BLAK",NA
4295899512,"574795100","US5747951003","MASI",3845
4295899515,"50060P106","US50060P1066","KOP",24
4295899517,"834453102","US8344531020","SOMX",NA
4295899522,"811733104","US8117331046","SFRX",79
4295899526,"81222V103","US81222V1035","WOFA",5211
4295899527,"057465106","US0574651065","BKRSQ",NA
4295899532,"78402X107","US78402X1072","SCLR",2835
4295899533,"25754A201","US25754A2015","DPZ",5140
4295899534,"57056R103","US57056R1032","LEDR",NA
4295899538,"83438K103","US83438K1034","SLTM",NA
4295899539,"108030107","US1080301070","BBNK",6021
4295899540,"46489V104","US46489V1044","ISR",3841
4295899541,"35644U408","US35644U4085","CERX",NA
4295899543,"04963C209","US04963C2098","ATRC",3841
4295899544,"205684103","US2056841032","CHCI",65
4295899545,"489398107","US4893981070","KW",65
4295899550,"03063G102","US03063G1022","AENYQ",NA
4295899551,"946788106","US9467881069","OEG",5065
4295899552,"47023A101","US47023A1016","JMBA",5810
4295899557,"63886Q109","US63886Q1094","NGS",1389
4295899560,"369822101","US3698221013","GFN",7359
4295899561,"45779L107","US45779L1070","COHN",6211
4295899562,"86686U103","US86686U1034","SNRV",1311
4295899567,"26745T101","US26745T1016","DYAI",2836
4295899568,"02146M201","US02146M2017","ALYI",7372
4295899569,"974242109","US9742421095","WLOLQ",NA
4295899570,"84649R101","US84649R1014","CODE",3674
4295899571,"","","HEROQ",1381
4295899577,"640098109","US6400981097","NEFB",NA
4295899581,"06643P104","US06643P1049","BFIN",6035
4295899586,"23311P100","US23311P1003","DCP",4922
4295899589,"73932B105","US73932B1052","LSTS",3341
4295899598,"55279B202","US55279B2025","MEIP",2834
4295899600,"724078100","US7240781002","PIPR",6211
4295899601,"443793104","US4437931045","HDHL",NA
4295899605,"291732105","US2917321059","ELYS",7372
4295899606,"73179V103","US73179V1035","PPO",NA
4295899611,"37929X107","US37929X1072","GLG",NA
4295899612,"261608103","US2616081038","DRC",3510
4295899615,"167760107","US1677601072","CME",62
4295899616,"834156101","US8341561012","SOEN",NA
4295899618,"53954R105","US53954R1059","LOCMQ",7389
4295899621,"00739W107","US00739W1071","AEA",NA
4295899623,"038923108","US0389231087","ABR",6798
4295899624,"884453101","US8844531017","TPGI",NA
4295899625,"16411Q101","US16411Q1013","CQP",4924
4295899627,"78112T107","US78112T1079","RBCN",3674
4295899628,"879604106","US8796041064","TKOI",3822
4295899630,"756048401","US7560484013","EPM",1311
4295899633,"534545108","US5345451083","LPBC",NA
4295899634,"37941P306","US37941P3064","WLMS",16
4295899635,"239559107","US2395591074","DBRM",1311
4295899643,"276650108","US2766501082","ELCI",NA
4295899655,"","","BTU",1221
4295899659,"45685K102","US45685K1025","INFU",3841
4295899662,"441060100","US4410601003","HSP",2834
4295899667,"890515109","US8905151093","TOOTQ",NA
4295899669,"674870308","US6748703088","OPTT",4911
4295899671,"49455U100","US49455U1007","KMR",4610
4295899673,"83616T108","US83616T1088","FIRE",NA
4295899680,"88100A101","US88100A1016","TEGR",1382
4295899681,"025334103","US0253341038","ADY",NA
4295899689,"80349A208","US80349A2087","SAR",NA
4295899690,"67000M100","US67000M1009","CLRB",2834
4295899696,"","","CE",2820
4295899697,"563420108","US5634201082","MNTX",3559
4295899705,"218352102","US2183521028","CORT",2834
4295899707,"373678200","US3736782000","GOVX",2834
4295899710,"45166R204","US45166R2040","IDIX",2834
4295899717,"73933G202","US73933G2021","PSIX",3510
4295899720,"45772H202","US45772H2022","IVFH",5141
4295899724,"67502R102","US67502R1023","ASRE",4911
4295899727,"651754103","US6517541032","NFSB",6035
4295899728,"09624H208","US09624H2085","BXC",5031
4295899731,"30212P105","US30212P1057","EXPE",47
4295899733,"558868105","US5588681057","MDGL",2834
4295899734,"","","NES",1389
4295899735,"68749U106","US68749U1060","ORSX",3661
4295899752,"911460103","US9114601035","UBFO",6021
4295899761,"285617106","US2856171069","EKCS",3669
4295899765,"740921101","US7409211015","PRWT",NA
4295899766,"87651B104","US87651B1044","AXON",3480
4295899770,"605038108","US6050381085","MISN",6021
4295899774,"48023P106","US48023P1066","JSDA",2080
4295899786,"319390100","US3193901002","FBIZ",6022
4295899791,"50075N104","US50075N1046","MDLZ",20
4295899792,"23254L108","US23254L1089","CYCC",2834
4295899800,"497498105","US4974981056","KIRK",5990
4295899801,"01748X102","US01748X1028","ALGT",4512
4295899806,"022872105","US0228721058","AMSU",4955
4295899807,"299766204","US2997662042","EVK",23
4295899808,"268487303","US2684873035","EFIR",1382
4295899812,"043176106","US0431761065","ARUN",3577
4295899813,"171077407","US1710774076","CDXC",2833
4295899815,"09227Q100","US09227Q1004","BLKB",7372
